timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,111.48152261454946,1.0,4.533408,87.0,5.6756454,-2.0,-0.005614823,2.0,1.0230207,0.0004037978,0.1714343,0.17348103,-0.0020467301,2.3022866,0.016844469399213923,0.015721504772599662
16384,563.9194771343435,1.0,4.6359763,87.0,5.835061,-2.0,0.009661836,2.0,1.0211838,0.010497329,0.13588154,0.1391287,-0.0032471432,2.3009348,0.013356067064506962,0.015913611821540212
24576,557.4123315698735,1.0,4.546451,87.0,5.5817275,-2.0,0.0050167223,2.0,1.0208586,0.0054783137,0.13201644,0.1413756,-0.0093591735,2.2986996,0.013749535488665924,0.016350798959494612
32768,549.9494929006117,1.0,4.5322065,87.0,5.4628067,-2.0,0.011358914,2.0,1.0204358,0.01289037,0.11150808,0.13012305,-0.018614972,2.2929196,0.013436764094749965,0.01634575425959274
40960,555.4385995133053,1.0,4.581299,87.0,5.5886393,-2.0,0.045410156,2.0,1.021444,0.03871258,0.08617299,0.11185312,-0.025680147,2.2788491,0.0128173828125,0.0174560546875
49152,547.4867921072135,1.0,4.609497,100.0,5.7087493,-2.0,0.088012695,2.0,1.0167986,0.07486144,0.080662265,0.10899374,-0.028331477,2.2531092,0.01123046875,0.01806640625
57344,539.8653426059316,1.0,4.60791,100.0,5.781468,-2.0,0.14880371,2.0,1.0066677,0.12637375,0.07640175,0.10488085,-0.02847911,2.207451,0.0093994140625,0.018310546875
65536,553.2455807884621,1.0,4.6882324,100.0,6.0747075,-2.0,0.23608398,2.0,0.9928586,0.20353761,0.06630848,0.09289174,-0.026583249,2.1473093,0.0087890625,0.020263671875
73728,556.4795650434496,1.0,4.7818604,100.0,6.6530876,-2.0,0.3284912,2.0,0.9684368,0.28235203,0.054664545,0.079529054,-0.02486451,2.082235,0.0074462890625,0.0224609375
81920,541.0777151462081,1.0,4.8183594,100.0,7.167156,-2.0,0.4206543,2.0,0.9319121,0.3643501,0.047543537,0.07134391,-0.023800379,1.9906626,0.005859375,0.0242919921875
90112,539.8806538532444,1.0,4.790039,100.0,7.5599403,-2.0,0.53308105,2.0,0.8785528,0.46581122,0.046861127,0.06646021,-0.019599078,1.8977854,0.004150390625,0.0291748046875
98304,536.7792988706005,1.0,4.8865967,100.0,8.582035,-2.0,0.6275635,2.0,0.82240784,0.55184233,0.038762413,0.053355847,-0.014593434,1.7969316,0.002685546875,0.0345458984375
106496,543.6773359936805,1.0,5.0080566,100.0,9.56154,-2.0,0.6954346,2.0,0.7671469,0.61513585,0.032301508,0.043444537,-0.011143029,1.7325414,0.0015869140625,0.0362548828125
114688,549.268722384989,1.0,5.161499,100.0,10.726009,-2.0,0.76013184,2.0,0.7091461,0.67597866,0.028508792,0.035802852,-0.0072940597,1.6923374,0.0009765625,0.0401611328125
