timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy
8192,120.54469668427184,1.0,3.937652,62.0,4.9154572,-2.0,-0.026302971,2.0,1.0437529,-0.015377442,0.20484245,0.20611961,-0.0012771656,2.3023353
16384,617.5526953046389,1.0,3.9850674,100.0,5.248211,-2.0,-0.007833538,2.0,1.0455652,-0.008543898,0.16330726,0.16468173,-0.0013744619,2.3013644
24576,601.4103314084964,1.0,3.9952645,100.0,5.5265656,-2.0,0.005551927,2.0,1.0454882,0.005848898,0.15027088,0.153923,-0.003652132,2.3001633
32768,601.2987902164722,1.0,3.9816895,100.0,5.505072,-2.0,0.004272461,2.0,1.0441226,0.0040417495,0.14144024,0.15144017,-0.009999919,2.299257
40960,593.646831144028,1.0,3.9691162,100.0,5.755063,-2.0,0.028564453,2.0,1.043097,0.020616759,0.12683006,0.14681652,-0.019986484,2.290583
49152,615.1713100965939,1.0,3.9667969,100.0,5.6916294,-2.0,0.06237793,2.0,1.0406253,0.05312105,0.11077249,0.13642286,-0.025650358,2.270876
57344,597.8278911384007,1.0,3.97937,100.0,5.660969,-2.0,0.119018555,2.0,1.0348516,0.10319248,0.09994792,0.12826191,-0.028313983,2.2298095
65536,596.9717312968775,1.0,3.972412,100.0,5.6680403,-2.0,0.22253418,2.0,1.0219347,0.1929566,0.09361255,0.12224198,-0.028629428,2.1691368
73728,608.1121103918072,1.0,3.9707031,100.0,5.86001,-2.0,0.33850098,2.0,0.9937756,0.2978945,0.08179307,0.10768211,-0.025889052,2.091731
81920,594.8834434747524,1.0,4.006592,100.0,6.4652166,-2.0,0.45410156,2.0,0.9541965,0.40133637,0.07133838,0.09524054,-0.023902163,2.0271664
90112,596.941913617504,1.0,4.0512695,100.0,7.091052,-2.0,0.5670166,2.0,0.8984856,0.4998463,0.056595396,0.07926648,-0.022671085,1.9324265
98304,594.0953658272084,1.0,4.135742,100.0,7.910719,-2.0,0.670166,2.0,0.82818305,0.5910032,0.049879633,0.06879696,-0.018917331,1.8408885
106496,610.8528138759793,1.0,4.227051,100.0,8.673675,-2.0,0.74975586,2.0,0.7631496,0.66388613,0.041807987,0.058872692,-0.0170647,1.7684824
114688,603.3324497735081,1.0,4.326172,100.0,9.468753,-2.0,0.80444336,2.0,0.7069961,0.7165776,0.037420418,0.050727133,-0.013306713,1.69996
122880,600.9709106700836,1.0,4.4466553,100.0,10.473371,-2.0,0.8601074,2.0,0.64571935,0.76972604,0.03275435,0.038574852,-0.0058205007,1.6403015
131072,614.3778560227431,1.0,4.70105,100.0,11.8402405,-2.0,0.88757324,2.0,0.60731375,0.79999375,0.030232836,0.031024132,-0.00079129724,1.5779345
139264,616.7861489742684,1.0,4.9381104,100.0,13.0614805,-2.0,0.91882324,2.0,0.5652081,0.83372605,0.032683514,0.030284086,0.0023994283,1.5232168
147456,597.5415355484009,1.0,5.149048,100.0,14.008825,-2.0,0.94348145,2.0,0.5258029,0.857193,0.02565946,0.023625609,0.0020338513,1.4422314
155648,594.7719316679396,1.0,5.2995605,100.0,14.866655,-2.0,0.9638672,2.0,0.49377283,0.8773631,0.026981803,0.02158968,0.0053921244,1.4579114
163840,598.274945125355,1.0,5.5185547,100.0,15.820191,-2.0,0.97680664,2.0,0.46765405,0.8933848,0.02660163,0.020950684,0.0056509436,1.4313604
172032,607.9205855756474,1.0,5.6446533,100.0,16.444588,-2.0,0.98999023,2.0,0.4437581,0.9073674,0.02312855,0.018282875,0.0048456723,1.3511469
180224,608.3495831366052,1.0,5.8983154,100.0,17.214405,-2.0,0.9974365,2.0,0.42460725,0.9139657,0.022531342,0.016342428,0.006188917,1.3535199
188416,592.7980350700332,1.0,6.039795,100.0,17.695267,-2.0,1.0015869,2.0,0.41117495,0.918357,0.022599636,0.017025802,0.0055738334,1.3716278
196608,593.0933540362926,1.0,6.0925293,100.0,17.99536,-2.0,1.0111084,2.0,0.3980527,0.92894536,0.022344569,0.017988201,0.0043563684,1.3700662
204800,594.8978424504603,1.0,6.0998535,100.0,18.24673,-2.0,1.0133057,2.0,0.38615403,0.93496823,0.022495905,0.0163253,0.006170604,1.3360364
212992,606.6635536608769,1.0,6.327759,100.0,18.930502,-2.0,1.0129395,2.0,0.385692,0.9363344,0.01865151,0.012602275,0.006049235,1.421937
221184,607.749024768526,1.0,6.4818115,100.0,19.361315,-1.0,1.0128174,2.0,0.3826776,0.9377302,0.022994563,0.014348748,0.008645818,1.384414
229376,604.7337135839643,1.0,6.3552246,100.0,19.125034,-1.0,1.0123291,2.0,0.38237458,0.94022495,0.02330262,0.016364325,0.006938297,1.3371136
237568,600.6134443938278,1.0,6.432251,100.0,19.386465,-1.0,1.0114746,2.0,0.38542178,0.9415438,0.023006018,0.0146752875,0.008330732,1.3629397
245760,592.4672827108833,1.0,6.3808594,100.0,19.477089,-1.0,1.0107422,2.0,0.38290092,0.9444234,0.022587474,0.015812228,0.006775246,1.2795472
253952,593.4879978056667,1.0,6.555176,100.0,19.914022,-1.0,1.0078125,2.0,0.38105464,0.9419992,0.020412106,0.012485715,0.007926391,1.3288703
262144,595.770847309462,1.0,6.6202393,100.0,20.058464,-1.0,1.0078125,2.0,0.37944952,0.9419961,0.022562027,0.013016213,0.009545813,1.2987047
270336,588.8789427917746,1.0,6.4816895,100.0,19.767927,-1.0,1.0118408,2.0,0.38175097,0.94670814,0.025431957,0.015964923,0.009467033,1.2695186
278528,603.585616908986,1.0,6.4714355,100.0,19.848295,-1.0,1.0144043,2.0,0.38214228,0.95104957,0.020609137,0.0148533285,0.0057558073,1.2876395
286720,610.7119834050019,1.0,6.4332275,100.0,19.783876,-1.0,1.0155029,2.0,0.37711498,0.9527403,0.022309022,0.014729114,0.0075799064,1.2976263
294912,608.1269631513493,1.0,6.564331,100.0,20.072805,-1.0,1.0162354,2.0,0.3803076,0.9535873,0.019087002,0.011810577,0.007276425,1.3035127
303104,607.4413505341432,1.0,6.6934814,100.0,20.384535,-1.0,1.0163574,2.0,0.38524544,0.9550618,0.023819685,0.014283117,0.009536566,1.3438723
311296,595.2417915861066,1.0,6.529663,100.0,19.972261,-1.0,1.0172119,2.0,0.3894628,0.9572671,0.023682468,0.015642239,0.008040228,1.3174763
319488,594.8573664175807,1.0,6.4415283,100.0,19.896338,-1.0,1.0175781,2.0,0.3851917,0.95995855,0.024877094,0.015835138,0.009041956,1.3266175
327680,588.6424777993923,1.0,6.307007,100.0,19.764929,-1.0,1.0186768,2.0,0.38147768,0.9624294,0.022948157,0.017619208,0.0053289477,1.2942404
335872,597.8679193916178,1.0,6.279297,100.0,19.671984,-1.0,1.0200195,2.0,0.3793235,0.9627889,0.021116655,0.014850425,0.0062662307,1.3315591
344064,590.0591174358817,1.0,5.95874,100.0,19.099989,-1.0,1.0209961,2.0,0.37473765,0.96625936,0.022901393,0.014995817,0.007905575,1.322086
352256,592.5570434572331,1.0,5.619995,100.0,18.412106,-1.0,1.0266113,2.0,0.36780176,0.97263694,0.025071071,0.015976027,0.009095044,1.3099766
360448,603.05960598074,1.0,5.343628,100.0,17.845583,-1.0,1.0317383,2.0,0.36170238,0.9776181,0.02739368,0.017856559,0.009537123,1.2920363
368640,598.7204460424617,1.0,5.5334473,100.0,18.348116,-1.0,1.0305176,2.0,0.36583367,0.9776535,0.017666157,0.0136181675,0.00404799,1.3655058
376832,615.6196281672134,1.0,5.4779053,100.0,18.194258,-1.0,1.0300293,2.0,0.3591393,0.9765464,0.019768506,0.015121973,0.004646533,1.3162847
385024,604.0688950391713,1.0,5.4249268,100.0,18.11319,-1.0,1.0317383,2.0,0.35626167,0.9788578,0.019571476,0.013765989,0.0058054854,1.337158
393216,601.2185225848688,1.0,5.3901367,100.0,17.99055,-1.0,1.0301514,2.0,0.3616694,0.9784625,0.024619587,0.016064065,0.008555519,1.2876531
401408,611.003792057822,1.0,5.539673,100.0,18.345104,-1.0,1.0267334,2.0,0.36829048,0.97641677,0.02480755,0.016648345,0.008159206,1.2225773
409600,592.3680921980028,1.0,5.5008545,100.0,18.230005,-1.0,1.0267334,2.0,0.3692835,0.9747641,0.024062503,0.016765203,0.007297301,1.2868754
417792,594.0395109821211,1.0,5.3203125,100.0,17.829144,-1.0,1.0310059,2.0,0.37175095,0.98078173,0.023971096,0.015970584,0.008000513,1.2544557
425984,593.8527436888363,1.0,5.0490723,100.0,17.15694,-1.0,1.0299072,2.0,0.3650491,0.9797363,0.018927895,0.015817858,0.003110038,1.2276273
434176,595.5580695985622,1.0,5.0300293,100.0,17.164646,-1.0,1.0327148,2.0,0.36127764,0.9824355,0.021982266,0.0151217,0.0068605654,1.2851229
442368,594.8200159428904,1.0,4.901123,100.0,16.792267,-1.0,1.0345459,2.0,0.35134083,0.98154616,0.02313824,0.015966434,0.007171806,1.2522764
450560,593.1265665259085,1.0,4.8880615,100.0,16.789543,-1.0,1.0343018,2.0,0.35171196,0.9823941,0.026459176,0.016156208,0.01030297,1.220319
458752,594.2746488529582,1.0,4.625122,100.0,16.013361,-1.0,1.0356445,2.0,0.34685948,0.9832234,0.030190904,0.018129813,0.012061091,1.1632842
466944,607.4226010341431,1.0,4.439209,100.0,15.462616,-1.0,1.0389404,2.0,0.34738454,0.98605466,0.027298432,0.019861162,0.007437272,1.1636481
475136,606.8034017064339,1.0,4.180542,100.0,14.793798,-1.0,1.045044,2.0,0.34910226,0.99345875,0.026980907,0.01879555,0.008185359,1.1624944
483328,607.8605202112066,1.0,4.061035,100.0,14.407512,-1.0,1.0441895,2.0,0.34161323,0.9914731,0.024409302,0.017491177,0.0069181235,1.2292721
491520,615.0409988628278,1.0,4.074463,100.0,14.546449,-1.0,1.045044,2.0,0.34488073,0.99373794,0.024672113,0.017813608,0.006858505,1.0950761
499712,591.8660512177496,1.0,4.171753,100.0,14.857737,-1.0,1.0471191,2.0,0.35005087,0.99479616,0.027421359,0.01882198,0.008599379,1.1247797
507904,589.6335720006076,1.0,4.216797,100.0,15.102178,-1.0,1.0465088,2.0,0.3475079,0.99563646,0.023349969,0.016031131,0.0073188366,1.1844852
516096,595.4777482430196,1.0,4.142578,100.0,14.835012,-1.0,1.0445557,2.0,0.35056058,0.9939303,0.026066842,0.018861067,0.0072057797,1.1029012
524288,601.4742141612161,1.0,3.9748535,100.0,14.312042,-1.0,1.0456543,2.0,0.3495472,0.9951053,0.024898209,0.01990227,0.004995937,1.0949056
532480,594.1558442874447,1.0,3.7458496,100.0,13.667334,-1.0,1.0479736,2.0,0.34695703,1.000324,0.028237034,0.020054802,0.008182229,1.07988
540672,601.3327386464285,1.0,3.347412,100.0,12.220565,-1.0,1.0478516,2.0,0.3411196,1.0002912,0.028698087,0.021683875,0.007014212,0.97809374
548864,601.0089219894099,1.0,3.1726074,100.0,11.561995,-1.0,1.0531006,2.0,0.33980358,1.004879,0.029122515,0.023146214,0.0059763007,1.0190787
557056,610.371939048462,1.0,3.1966553,100.0,11.63237,-1.0,1.0522461,2.0,0.337232,1.0037163,0.025318038,0.018726958,0.00659108,0.9880848
565248,606.3273059834461,1.0,3.2226562,100.0,11.869643,-1.0,1.0582275,2.0,0.33968216,1.0107225,0.030779952,0.021461654,0.0093183005,0.9952801
573440,612.2694014432989,1.0,3.1965332,100.0,11.982621,-1.0,1.0560303,2.0,0.33897287,1.0108515,0.026994912,0.02021451,0.006780403,1.0073361
581632,612.8037393155133,1.0,3.270874,100.0,12.244787,-1.0,1.057251,2.0,0.34128186,1.0107126,0.028333195,0.020579543,0.007753654,0.9958954
589824,605.5513437693747,1.0,3.234375,100.0,12.15668,-1.0,1.059082,2.0,0.34114859,1.0135804,0.0276942,0.020606944,0.007087255,1.0001869
598016,605.4803822598043,1.0,3.4438477,100.0,12.782016,-1.0,1.0567627,2.0,0.3417208,1.0096368,0.029640004,0.01851542,0.011124587,1.098396
606208,587.5635142099368,1.0,3.4024658,100.0,12.618858,-1.0,1.0484619,2.0,0.32882378,1.0017779,0.02353153,0.017670289,0.0058612395,1.0900729
614400,595.8649392810564,1.0,3.3709717,100.0,12.390652,-1.0,1.048584,2.0,0.32973257,1.0010318,0.026927065,0.021608688,0.0053183795,1.0052907
622592,591.3484947682556,1.0,3.3638916,100.0,12.326393,-1.0,1.0432129,2.0,0.3241392,0.995445,0.026597437,0.019627113,0.0069703246,1.0199566
630784,595.5309734273998,1.0,3.2923584,100.0,12.181502,-1.0,1.048706,2.0,0.33758068,1.0043397,0.029797398,0.02191823,0.007879168,1.0024847
638976,600.2494927014626,1.0,3.3187256,100.0,12.472425,-1.0,1.0489502,2.0,0.3379068,1.0068294,0.023722202,0.018632105,0.0050900965,1.0897881
647168,591.1356600433448,1.0,3.3708496,100.0,12.651067,-1.0,1.0456543,2.0,0.33528736,1.003631,0.028686654,0.019108748,0.009577907,1.0360361
655360,590.2777586886635,1.0,3.4179688,100.0,12.85732,-1.0,1.0491943,2.0,0.33859318,1.0063077,0.02723369,0.020216864,0.0070168274,1.0361383
663552,598.6167000034478,1.0,3.4152832,100.0,12.823221,-1.0,1.0509033,2.0,0.33870107,1.0065684,0.030883797,0.020867467,0.010016332,1.0037315
671744,596.0071513076629,1.0,3.213379,100.0,11.942291,-1.0,1.0574951,2.0,0.3401659,1.0111595,0.03086967,0.021776397,0.009093274,0.9393431
679936,591.3740106285658,1.0,3.170166,100.0,11.834661,-1.0,1.055542,2.0,0.338693,1.0099134,0.028895417,0.020238785,0.008656632,0.9508892
688128,596.2654853069678,1.0,3.3707275,100.0,12.535092,-1.0,1.0510254,2.0,0.34030074,1.0053734,0.02384492,0.016376419,0.007468501,1.0514535
696320,600.5045179570569,1.0,3.366455,100.0,12.585607,-1.0,1.0484619,2.0,0.33141223,1.0028558,0.02579613,0.018843539,0.0069525894,0.98031116
704512,597.5695320836672,1.0,3.555664,100.0,13.27019,-1.0,1.0460205,2.0,0.33359468,1.0007486,0.026573459,0.018281994,0.008291465,1.0161952
712704,601.7381954476652,1.0,3.4353027,100.0,12.89867,-1.0,1.046875,2.0,0.3251352,1.0008969,0.028624926,0.019889109,0.008735816,0.9943293
720896,594.7089293542895,1.0,3.5113525,100.0,13.160744,-1.0,1.0499268,2.0,0.32636806,1.0040537,0.02421612,0.019221475,0.0049946452,0.95562196
729088,593.4921495642697,1.0,3.458496,100.0,12.97638,-1.0,1.052124,2.0,0.32863483,1.0068495,0.025524614,0.019469382,0.006055233,0.9592769
737280,599.7944268897919,1.0,3.581787,100.0,13.320894,-1.0,1.0528564,2.0,0.33731785,1.0074394,0.025513696,0.019703867,0.0058098305,0.9863997
745472,598.7654458264407,1.0,3.6394043,100.0,13.600219,-1.0,1.0513916,2.0,0.34114143,1.0072565,0.025980541,0.019318309,0.0066622333,0.9724585
753664,600.855434533093,1.0,3.5692139,100.0,13.35277,-1.0,1.0532227,2.0,0.34068143,1.0084796,0.02593454,0.01916491,0.006769629,0.9750165
761856,593.026561509853,1.0,3.6699219,100.0,13.659459,-1.0,1.053833,2.0,0.34539017,1.0087402,0.026497032,0.019369617,0.0071274154,0.9547447
770048,594.1145651458929,1.0,3.4891357,100.0,13.174455,-1.0,1.0556641,2.0,0.33740905,1.0119331,0.026329283,0.019614406,0.006714877,0.9588995
778240,595.4964796981815,1.0,3.4296875,100.0,12.888094,-1.0,1.0550537,2.0,0.33732828,1.0111024,0.025435131,0.019166872,0.00626826,0.9816586
786432,614.8444472502752,1.0,3.4976807,100.0,13.204251,-1.0,1.0544434,2.0,0.33324102,1.0093029,0.025944538,0.0191794,0.0067651393,0.9877872
